ID,Name,Source,Source Type,Description,VC Workflows,VC Tasks,Skill Type,Installation,Official,Verified,Tags,Notes,VC Relevance,Requires Integration,Knowledge Category,Download Status
skill-031,Supabase MCP Server,github.com/supabase-community/supabase-mcp,github,"Connects to Supabase for managing databases, executing SQL queries, and applying migrations.",data_infrastructure,database_queries,mcp_server,,Yes,Yes,"supabase, postgres, realtime",Full Supabase platform access including auth.,1,Yes,,
skill-032,Google Toolbox for Databases MCP Server,github.com/googleapis/genai-toolbox,github,"Secure, configurable interface for executing pre-defined queries against multiple database systems.",data_infrastructure,database_queries,mcp_server,,Yes,Yes,"google, bigquery, alloydb, multi_database",Enterprise multi-database support.,1,Yes,,
skill-033,Snowflake MCP Server (Alkemi),github.com/modelcontextprotocol/servers,github,"Query Snowflake, Google BigQuery, and DataBricks Data Products through Alkemi.ai.","data_infrastructure, portfolio_support","database_queries, kpi_tracking",mcp_server,,No,Yes,"snowflake, bigquery, databricks, warehouse",Multi-cloud data warehouse access.,1,Yes,,
skill-034,ClickHouse MCP Server,github.com/modelcontextprotocol/servers,github,Query your data in ClickHouse database server for analytics.,"data_infrastructure, portfolio_support","database_queries, kpi_tracking",mcp_server,,No,Yes,"clickhouse, analytics, columnar",Fast analytics queries on large datasets.,1,Yes,,
skill-035,Neo4j MCP Server,github.com/neo4j-contrib/mcp-neo4j,github,Neo4j graph database server with schema inspection and read/write Cypher queries.,data_infrastructure,"database_queries, signal_generation",mcp_server,,Yes,Yes,"neo4j, graph, cypher, relationships",Excellent for network analysis and relationship mapping.,1,Yes,,
skill-036,Knowledge Graph Memory MCP Server,github.com/modelcontextprotocol/servers,github,Build and query persistent semantic networks for knowledge management.,"data_infrastructure, deal_sourcing","signal_generation, company_data_enrichment",mcp_server,,Yes,Yes,"knowledge_graph, memory, semantic",Good for building persistent company/investor knowledge bases.,2,Yes,,
skill-037,HubSpot MCP Server,github.com/modelcontextprotocol/servers,github,"Connect, manage, and interact with HubSpot CRM data including contacts, companies, and deals.","deal_sourcing, fund_operations","lead_generation, lp_prospecting, communication_management",mcp_server,,Yes,Yes,"hubspot, crm, contacts, deals",Full CRM integration for deal flow management.,3,Yes,,
skill-038,Salesforce MCP Server,github.com/modelcontextprotocol/servers,github,"Connect to Salesforce CRM for managing leads, contacts, opportunities, and custom objects.","deal_sourcing, fund_operations","lead_generation, lp_prospecting, communication_management",mcp_server,,No,Yes,"salesforce, crm, opportunities",Enterprise CRM integration.,3,Yes,,
skill-039,Customer.io MCP Server,github.com/modelcontextprotocol/servers,github,"Work with Customer.io workspace for segments, user profiles, and targeted communications.",fund_operations,"lp_communication, communication_management",mcp_server,,Yes,Yes,"customerio, marketing, segments",Good for LP communication automation.,1,Yes,,
skill-040,Linear MCP Server,github.com/modelcontextprotocol/servers,github,"Search, create, and update Linear issues, projects, and comments for project management.","portfolio_support, automation","kpi_tracking, research_automation",mcp_server,,Yes,Yes,"linear, issues, projects, agile",Good for tracking portfolio company product development.,1,Yes,,
skill-041,Notion MCP Server,github.com/modelcontextprotocol/servers,github,"Interact with Notion workspace for documents, databases, and knowledge management.","portfolio_support, fund_operations","document_generation, board_materials",mcp_server,,Yes,Yes,"notion, documents, databases, wiki",Good for internal knowledge management and deal memos.,1,Yes,,
skill-042,Atlassian MCP Server,github.com/sooperset/mcp-atlassian,github,Access Confluence pages and Jira issues via Atlassian API.,portfolio_support,"kpi_tracking, document_review",mcp_server,,No,Yes,"atlassian, jira, confluence",Good for portfolio company project tracking.,1,Yes,,
skill-043,Monday.com MCP Server,github.com/modelcontextprotocol/servers,github,"Interact with Monday.com boards, items, accounts, and work forms.","portfolio_support, automation",kpi_tracking,mcp_server,,Yes,Yes,"monday, boards, workflow",Alternative project management integration.,1,Yes,,
skill-044,Slack MCP Server,github.com/modelcontextprotocol/servers,github,Channel management and messaging capabilities for team communication.,"automation, portfolio_support",communication_management,mcp_server,,Yes,Yes,"slack, messaging, channels",Essential for team and portfolio communication.,1,Yes,,
skill-045,Microsoft Teams MCP Server,github.com/microsoft/teams-ai,github,Teams AI Library with MCP for advanced agent orchestration in Microsoft ecosystem.,automation,communication_management,mcp_server,,Yes,Yes,"teams, microsoft, messaging",For firms using Microsoft ecosystem.,1,Yes,,
skill-046,Google Drive MCP Server,github.com/modelcontextprotocol/servers,github,File access and search capabilities for Google Drive documents and folders.,"due_diligence, fund_operations","document_review, data_room_analysis",mcp_server,,Yes,Yes,"google, drive, documents",Good for accessing shared DD materials.,2,Yes,,
skill-047,Box MCP Server,github.com/modelcontextprotocol/servers,github,Interact with Box Intelligent Content Management platform through Box AI.,"due_diligence, fund_operations","document_review, data_room_analysis",mcp_server,,Yes,Yes,"box, documents, content_management",Enterprise document management with AI capabilities.,2,Yes,,
skill-048,Brave Search MCP Server,github.com/modelcontextprotocol/servers,github,Web and local search using Brave's Search API for research and news.,"deal_sourcing, due_diligence","thematic_research, competitive_analysis, trend_analysis",mcp_server,,Yes,Yes,"brave, search, web, news",Privacy-focused alternative to Google search.,3,Yes,,
skill-049,Linkup Search MCP Server,github.com/modelcontextprotocol/servers,github,Web search capabilities through Linkup's advanced search API.,deal_sourcing,"thematic_research, company_identification",mcp_server,,No,Yes,"linkup, search, web",Alternative search API.,2,Yes,,
skill-050,Kagi Search MCP Server,github.com/modelcontextprotocol/servers,github,Search the web using Kagi's premium search API with no ads.,deal_sourcing,thematic_research,mcp_server,,No,Yes,"kagi, search, premium",Premium ad-free search.,2,Yes,,
skill-051,Hunter MCP Server,github.com/modelcontextprotocol/servers,github,Interact with Hunter API to get B2B data using natural language for lead enrichment.,"deal_sourcing, fund_operations","lead_generation, company_data_enrichment, lp_prospecting",mcp_server,,Yes,Yes,"hunter, email, b2b, enrichment",Good for finding email addresses and company info.,2,Yes,,
skill-052,BuiltWith MCP Server,github.com/modelcontextprotocol/servers,github,Identify technology stack behind any website for technical due diligence.,due_diligence,"technical_dd, competitive_analysis",mcp_server,,Yes,Yes,"builtwith, technology, stack, tech_dd",Essential for technical due diligence on web companies.,3,Yes,,
skill-053,Zapier MCP Server,github.com/modelcontextprotocol/servers,github,Generate dynamic MCP server connecting to 8000+ apps on Zapier for workflow automation.,automation,"workflow_orchestration, research_automation",mcp_server,,Yes,Yes,"zapier, automation, integration, no_code",Most flexible automation platform.,1,Yes,,
skill-054,Make MCP Server,github.com/modelcontextprotocol/servers,github,Turn Make scenarios into callable tools for AI assistants.,automation,"workflow_orchestration, research_automation",mcp_server,,Yes,Yes,"make, integromat, automation",Alternative to Zapier with visual workflow builder.,1,Yes,,
skill-055,Composio MCP Server,github.com/ComposioHQ/composio,github,Connect to 100+ tools with zero setup and built-in authentication.,"automation, data_infrastructure",workflow_orchestration,mcp_server,,Yes,Yes,"composio, integration, auth",Good for quick multi-tool integrations.,1,Yes,,
skill-056,Nango MCP Server,github.com/modelcontextprotocol/servers,github,"Integrate AI agent with 500+ APIs including auth, custom tools, and observability.","automation, data_infrastructure",workflow_orchestration,mcp_server,,Yes,Yes,"nango, integration, auth, observability",Enterprise-grade API integration platform.,1,Yes,,
skill-057,GitHub MCP Server,github.com/github/github-mcp-server,github,"Official GitHub MCP server for repository management, file operations, and GitHub API integration.","due_diligence, portfolio_support","technical_dd, competitor_monitoring",mcp_server,,Yes,Yes,"github, repositories, code, api",Essential for technical DD on dev tools companies.,2,Yes,,
skill-058,GitLab MCP Server,github.com/modelcontextprotocol/servers,github,GitLab's official MCP server for AI tools to access project data.,"due_diligence, portfolio_support",technical_dd,mcp_server,,Yes,Yes,"gitlab, repositories, code",For portfolio companies using GitLab.,2,Yes,,
skill-059,Grafana MCP Server,github.com/modelcontextprotocol/servers,github,"Search dashboards, investigate incidents, and query datasources in Grafana.",portfolio_support,kpi_tracking,mcp_server,,Yes,Yes,"grafana, dashboards, observability",Good for portfolio company metrics monitoring.,1,Yes,,
skill-060,Amplitude MCP Server,github.com/modelcontextprotocol/servers,github,"Search, analyze, and query charts, dashboards, experiments, and metrics in Amplitude.","portfolio_support, due_diligence","kpi_tracking, technical_dd",mcp_server,,Yes,Yes,"amplitude, analytics, product",Essential for product analytics review.,2,Yes,,
skill-061,Mixpanel MCP Server,github.com/modelcontextprotocol/servers,github,Query and analyze product analytics data through natural language.,"portfolio_support, due_diligence","kpi_tracking, technical_dd",mcp_server,,Yes,Yes,"mixpanel, analytics, product",Alternative product analytics platform.,2,Yes,,
skill-062,Datawrapper MCP Server,github.com/modelcontextprotocol/servers,github,Create Datawrapper charts using AI assistants for data visualization.,"fund_operations, portfolio_support","lp_reporting, board_materials",mcp_server,,Yes,Yes,"datawrapper, charts, visualization",Good for creating investor-ready visualizations.,1,Yes,,
skill-063,Cal.com MCP Server,github.com/modelcontextprotocol/servers,github,Connect to Cal.com API to schedule and manage bookings.,automation,calendar_management,mcp_server,,Yes,Yes,"calcom, calendar, scheduling",Good for scheduling founder meetings.,1,Yes,,
skill-064,Grain MCP Server,github.com/modelcontextprotocol/servers,github,Access Grain meeting notes and transcripts and generate reports.,"automation, due_diligence","management_research, document_generation",mcp_server,,Yes,Yes,"grain, meetings, transcripts",Good for analyzing founder pitch meetings.,3,Yes,,
skill-065,Courier MCP Server,github.com/modelcontextprotocol/servers,github,"Build and send multi-channel notifications across email, SMS, push, Slack, and Teams.","fund_operations, automation","lp_communication, communication_management",mcp_server,,Yes,Yes,"courier, notifications, multi_channel",Good for LP and portfolio company communications.,1,Yes,,
skill-066,Inbox Zero MCP Server,github.com/modelcontextprotocol/servers,github,AI personal assistant for email management and inbox organization.,automation,email_management,mcp_server,,Yes,Yes,"email, inbox, productivity",Good for managing high deal flow email volume.,1,Yes,,
skill-067,LinkedIn MCP Runner,github.com/modelcontextprotocol/servers,github,"Write, edit, and schedule LinkedIn posts from ChatGPT and Claude.","deal_sourcing, fund_operations",lead_generation,mcp_server,,No,Yes,"linkedin, social, posts",Good for building deal sourcing presence.,2,Yes,,
skill-068,Context7 MCP Server,github.com/upstash/context7,github,Documentation database providing up-to-date library and framework documentation.,due_diligence,technical_dd,mcp_server,,Yes,Yes,"context7, documentation, frameworks",Useful for understanding portfolio company tech stacks.,2,Yes,,
skill-069,Kaggle MCP Server,github.com/Kaggle/kaggle-api,github,"Access Kaggle's datasets, models, competitions, notebooks, and benchmarks.",due_diligence,"technical_dd, market_sizing",mcp_server,,Yes,Yes,"kaggle, datasets, ml, benchmarks",Good for evaluating AI/ML companies.,2,Yes,,
skill-070,Hugging Face MCP Server,github.com/huggingface/hf-mcp-server,github,"Connect to Hugging Face Hub APIs for semantic search, datasets, and models.",due_diligence,technical_dd,mcp_server,,Yes,Yes,"huggingface, models, ml, datasets",Essential for AI company technical DD.,2,Yes,,
skill-071,Elasticsearch MCP Server,github.com/modelcontextprotocol/servers,github,Query your data in Elasticsearch for search and analytics.,data_infrastructure,"database_queries, signal_generation",mcp_server,,Yes,Yes,"elasticsearch, search, analytics",Good for searching internal company databases.,1,Yes,,
skill-072,Meilisearch MCP Server,github.com/modelcontextprotocol/servers,github,Interact and query with Meilisearch for full-text and semantic search.,data_infrastructure,database_queries,mcp_server,,Yes,Yes,"meilisearch, search, fulltext",Lightweight search alternative to Elasticsearch.,1,Yes,,
skill-073,Chroma MCP Server,github.com/modelcontextprotocol/servers,github,"Embeddings, vector search, document storage, and full-text search in Chroma.",data_infrastructure,"signal_generation, company_data_enrichment",mcp_server,,Yes,Yes,"chroma, vector, embeddings, rag",Good for building semantic search over deal flow.,1,Yes,,
skill-074,Milvus MCP Server,github.com/modelcontextprotocol/servers,github,"Search, query, and interact with data in Milvus Vector Database.",data_infrastructure,signal_generation,mcp_server,,Yes,Yes,"milvus, vector, database",Enterprise vector database for large-scale similarity search.,1,Yes,,
skill-075,Redis MCP Server,github.com/redis/mcp-redis,github,Natural language interface for managing and searching data in Redis including vector search.,data_infrastructure,"database_queries, signal_generation",mcp_server,,Yes,Yes,"redis, cache, vector, realtime",Good for real-time data and caching.,1,Yes,,
skill-076,XLSX Skill,github.com/anthropics/skills/tree/main/skills/xlsx,anthropic,"Create, edit, and analyze Excel spreadsheets with support for formulas, formatting, data analysis, and visualization.","due_diligence, fund_operations, portfolio_support","financial_analysis, lp_reporting, kpi_tracking",skill,,Yes,Yes,"excel, spreadsheets, formulas, analysis",Essential for financial modeling and reporting.,3,Yes,,
skill-077,PDF Skill,github.com/anthropics/skills/tree/main/skills/pdf,anthropic,"Comprehensive PDF manipulation for extracting text and tables, creating new PDFs, merging/splitting documents, and handling forms.","due_diligence, fund_operations","document_review, data_room_analysis, lp_reporting",skill,,Yes,Yes,"pdf, documents, extraction, forms",Essential for data room document analysis.,2,Yes,,
skill-078,DOCX Skill,github.com/anthropics/skills/tree/main/skills/docx,anthropic,"Create, edit, and analyze Word documents with support for tracked changes, comments, and formatting preservation.","fund_operations, due_diligence","document_generation, lp_reporting, board_materials",skill,,Yes,Yes,"word, documents, editing",Good for creating investment memos and LP letters.,2,Yes,,
skill-079,PPTX Skill,github.com/anthropics/skills/tree/main/skills/pptx,anthropic,"Presentation creation, editing, and analysis for PowerPoint files.","fund_operations, portfolio_support","lp_reporting, board_materials, fundraising_support",skill,,Yes,Yes,"powerpoint, presentations, slides",Essential for LP presentations and board decks.,2,Yes,,
skill-081,Claude Scientific Skills,github.com/K-Dense-AI/claude-scientific-skills,github,Comprehensive collection of ready-to-use scientific skills including working with specialized scientific libraries and databases.,due_diligence,"technical_dd, market_sizing",skill,,No,Yes,"scientific, research, databases",Good for biotech/deeptech DD.,2,Yes,,
skill-082,Claude D3.js Skill,github.com/chrisvoncsefalvay/claude-d3js-skill,github,Data visualizations using D3.js for interactive charts and graphs.,"portfolio_support, fund_operations","kpi_tracking, lp_reporting",skill,,No,Yes,"d3js, visualization, charts",Good for custom portfolio dashboards.,2,Yes,,
skill-083,Obra Superpowers,github.com/obra/superpowers,github,"Core skills library with 20+ battle-tested skills including TDD, debugging, and collaboration patterns.",due_diligence,technical_dd,skill,,No,Yes,"development, tdd, debugging",Useful for portfolio company tech review.,2,Yes,,
skill-084,Audit Context Building Skill,github.com/trailofbits/skills,github,Deep architectural context via ultra-granular code analysis for security audits.,due_diligence,"technical_dd, legal_research",skill,,No,Yes,"security, audit, code_analysis",From Trail of Bits - excellent for security DD.,2,Yes,,
skill-085,Static Analysis Skill,github.com/trailofbits/skills,github,"Static analysis toolkit with CodeQL, Semgrep, and SARIF for code security review.",due_diligence,technical_dd,skill,,No,Yes,"security, codeql, semgrep, sast",Essential for security-focused technical DD.,2,Yes,,
skill-086,Differential Review Skill,github.com/trailofbits/skills,github,Security-focused diff review with git history analysis.,"due_diligence, portfolio_support",technical_dd,skill,,No,Yes,"security, git, diff, review",Good for reviewing code changes in portfolio companies.,2,Yes,,
skill-087,RAG Engineer Skill,github.com/sickn33/antigravity-awesome-skills,github,Building retrieval-augmented generation systems for knowledge bases.,data_infrastructure,signal_generation,skill,,No,Yes,"rag, retrieval, knowledge_base",Useful for building deal flow knowledge systems.,1,Yes,,
skill-088,Prompt Engineer Skill,github.com/sickn33/antigravity-awesome-skills,github,Optimizing LLM prompts for specific tasks and use cases.,automation,research_automation,skill,,No,Yes,"prompts, optimization, llm",Useful for creating custom research prompts.,1,Yes,,
skill-089,Copywriting Skill,github.com/sickn33/antigravity-awesome-skills,github,Professional copywriting for marketing materials and communications.,"fund_operations, portfolio_support","lp_communication, fundraising_support",skill,,No,Yes,"copywriting, marketing, communications",Good for LP materials and portfolio company support.,2,No,communications,downloaded
skill-090,Pricing Strategy Skill,github.com/sickn33/antigravity-awesome-skills,github,Developing pricing models and strategies for products and services.,"portfolio_support, due_diligence",strategic_research,skill,,No,Yes,"pricing, strategy, business",Useful for helping portfolio companies with pricing.,3,No,portfolio_operations,downloaded
skill-091,SEO Audit Skill,github.com/sickn33/antigravity-awesome-skills,github,Search engine optimization analysis and recommendations.,"due_diligence, portfolio_support","technical_dd, strategic_research",skill,,No,Yes,"seo, marketing, analysis",Good for evaluating consumer/SMB companies.,2,Yes,,
skill-092,Stripe Best Practices Skill,github.com/stripe/ai,github,Best practices for building Stripe integrations for payments.,"due_diligence, portfolio_support",technical_dd,skill,,Yes,Yes,"stripe, payments, integration",Useful for reviewing fintech payment implementations.,3,Yes,,
skill-093,AWS Skills,github.com/zxkane/aws-skills,github,AWS development with infrastructure automation and cloud architecture patterns.,due_diligence,technical_dd,skill,,No,Yes,"aws, cloud, infrastructure",Good for evaluating cloud architecture in DD.,2,Yes,,
skill-094,Terraform Code Generation Skill,github.com/hashicorp/agent-skills,github,Generate and validate Terraform HCL code for infrastructure as code.,due_diligence,technical_dd,skill,,Yes,Yes,"terraform, iac, infrastructure",Good for reviewing infrastructure practices in DD.,2,Yes,,
skill-095,Cloudflare Skill,github.com/dmmulroy/cloudflare-skill,github,"Cloudflare platform reference for Workers, Pages, storage, AI, and networking.",due_diligence,technical_dd,skill,,No,Yes,"cloudflare, edge, cdn",Useful for evaluating edge computing implementations.,2,Yes,,
skill-096,Quanti Connectors MCP,mcpservers.org/servers/quantiio/mcp,mcp_registry,Connects marketing data to warehouses; executes SQL on BigQuery and analyzes performance across analytics and ad platforms.,"due_diligence, portfolio_support","kpi_tracking, competitive_analysis",mcp_server,,No,Yes,"marketing, analytics, bigquery",Good for analyzing marketing performance in consumer companies.,3,Yes,,
skill-097,Audiense Insights MCP Server,glama.ai/mcp/servers/@AudienseCo/mcp-audiense-insights,glama,Extract and analyze marketing insights and audience data including demographics and engagement metrics.,"due_diligence, deal_sourcing","market_sizing, competitive_analysis",mcp_server,,Yes,Yes,"audiense, audience, demographics, marketing",Good for consumer/social company analysis.,3,Yes,,
skill-098,Chargebee MCP Server,github.com/modelcontextprotocol/servers,github,Connect AI agents to Chargebee platform for subscription billing data.,"portfolio_support, due_diligence","kpi_tracking, financial_analysis",mcp_server,,Yes,Yes,"chargebee, billing, subscriptions, saas",Essential for SaaS company metrics analysis.,2,Yes,,
skill-099,Stripe MCP Server,github.com/modelcontextprotocol/servers,github,Access Stripe payment data and analytics for revenue analysis.,"portfolio_support, due_diligence","kpi_tracking, financial_analysis",mcp_server,,Yes,Yes,"stripe, payments, revenue",Essential for analyzing payment metrics.,3,Yes,,
